Timestamp,Location,pH,Turbidity (NTU),Temperature (°C),DO (mg/L),BOD (mg/L),Lead (mg/L),Mercury (mg/L),Arsenic (mg/L),Pollution_Level,Year,Month,Month_Year
2024-01-01 00:00:00,L4,8.762413988692643,14.468306067222304,16.4616312405403,6.258335007611636,2.478581589451684,0.002801342476688,0.0019236067700863,0.0187686418867748,2,2024,1,2024-01
2024-01-01 01:00:00,L5,7.477966142562231,1.9056445519741303,27.446865292344924,2.8261200710003878,8.048452878313274,0.0195510198656598,0.0006325608097312,0.0037082447616598,2,2024,1,2024-01
2024-01-01 02:00:00,L3,7.938277883569123,1.8895061914225424,34.62355673524589,3.3801910155708965,2.102480757693903,0.0192906293573161,0.0002051086308407,0.005054818467336,2,2024,1,2024-01
2024-01-01 03:00:00,L5,8.728747834120535,0.7361152670803053,18.802152995674557,6.543794378528644,6.7141599323784655,0.0033582062617955,0.0010583661604403,0.00563773219103,2,2024,1,2024-01
2024-01-01 04:00:00,L5,7.975335220096895,19.15177726683986,30.851902325767668,4.370860908106307,2.114614240352357,0.0060585201835818,0.0001236271661059,0.0012374926627646,2,2024,1,2024-01
2024-01-01 05:00:00,L2,6.033886650199914,14.881413009450636,33.157975875592385,9.506525829210528,1.6348207383366091,0.0020930844503846,0.000229980900954,0.0028995164100113,2,2024,1,2024-01
2024-01-01 06:00:00,L3,7.517009260583846,7.388402465790251,33.874031856404414,8.549921835872407,9.18486553317289,0.0055071802180737,0.0004465848845005,0.0197338234974111,2,2024,1,2024-01
2024-01-01 07:00:00,L3,7.6235026623399955,6.282443835109277,34.202712088108946,9.868537652109303,2.7111588968683518,0.0163375202093626,0.0009340569972654,0.006646726378857,2,2024,1,2024-01
2024-01-01 08:00:00,L3,6.984457349558351,7.319212980044067,25.42919277442944,4.077366711603312,8.39125139103734,0.0076284805825886,0.0008721693552949,0.0027483712616114,2,2024,1,2024-01
2024-01-01 09:00:00,L5,8.07755482468653,15.605743858033046,34.54615815983007,9.757789062383816,5.901677839964222,0.0018590996462204,0.0016013868053855,0.0025863295929051,2,2024,1,2024-01
2024-01-01 10:00:00,L4,8.770284551691553,13.396726915873082,30.146204142688777,5.449870958332463,1.7007086764789263,0.0069102879431002,0.0014815545612293,0.0145294693695644,2,2024,1,2024-01
2024-01-01 11:00:00,L3,8.739489795173718,4.111313573415625,18.23342872473924,4.780150362510037,9.599033722942607,0.0196295283514014,0.0008583734050414,0.0171640889486364,2,2024,1,2024-01
2024-01-01 12:00:00,L5,7.077937799914462,3.8951320390146447,24.5380021293594,2.402796215754826,3.2226505029270327,0.0126307035456581,0.0006740713730755,0.0055105698404151,2,2024,1,2024-01
2024-01-01 13:00:00,L2,5.896333160442643,2.4187151694112474,29.36662350744008,2.422122062876821,8.73680810817346,0.0083816028334825,0.0006397728802823,0.000907735490537,2,2024,1,2024-01
